Date,Open,High,Low,Close,Volume,wind_code
2022/12/30,2633.1636,2648.4051,2631.8491,2635.2484,2388975700,000016.SH
2022/12/29,2622.1933,2627.431,2605.0487,2622.0716,2277666700,000016.SH
2022/12/28,2629.9846,2646.7069,2620.1185,2638.3055,2317118900,000016.SH
2022/12/27,2623.1749,2640.7395,2616.9293,2632.4526,2181466100,000016.SH
2022/12/26,2617.1819,2625.8838,2604.8991,2607.5229,1981241700,000016.SH
2022/12/23,2602.4119,2628.3855,2595.8489,2615.8794,1592901400,000016.SH
2022/12/22,2632.2018,2645.7296,2608.4367,2619.7569,2106950300,000016.SH
2022/12/21,2608.8688,2617.9243,2602.606,2607.4236,1573883000,000016.SH
2022/12/20,2636.0792,2640.0108,2580.872,2599.4882,2172397100,000016.SH
2022/12/19,2688.1195,2696.9325,2635.1891,2646.1789,2635463300,000016.SH
2022/12/16,2662.4808,2691.1936,2662.4808,2688.2899,2496106800,000016.SH
2022/12/15,2689.5721,2697.4182,2661.8522,2675.1875,2315916300,000016.SH
2022/12/14,2678.4681,2698.0146,2663.7844,2686.3682,2596693300,000016.SH
2022/12/13,2673.5365,2688.2171,2668.4835,2676.8995,2852129800,000016.SH
2022/12/12,2689.5717,2700.3954,2670.2031,2673.9391,3163207900,000016.SH
2022/12/9,2676.7142,2712.8839,2663.6036,2706.7388,3834628300,000016.SH
2022/12/8,2667.3587,2681.6534,2661.7511,2672.8957,2633491900,000016.SH
2022/12/7,2678.6369,2705.2434,2661.2477,2670.647,3453257800,000016.SH
2022/12/6,2663.1118,2704.9033,2658.1602,2684.8458,3625603300,000016.SH
2022/12/5,2647.458,2676.418,2635.7472,2676.1429,5462980300,000016.SH
2022/12/2,2628.1079,2630.2603,2609.5117,2614.6137,2931479400,000016.SH
2022/12/1,2661.1768,2678.3411,2629.8902,2631.2051,4415753300,000016.SH
2022/11/30,2595.2327,2623.853,2593.5134,2606.5427,4055544000,000016.SH
2022/11/29,2538.6091,2611.7521,2538.6091,2607.7499,4908325000,000016.SH
2022/11/28,2489.4675,2507.7789,2458.8724,2503.6228,3277473700,000016.SH
2022/11/25,2518.8762,2554.5373,2512.8756,2544.6147,4129528800,000016.SH
2022/11/24,2550.2969,2562.0764,2517.1841,2520.5634,2231919200,000016.SH
2022/11/23,2524.1846,2554.7554,2520.8263,2535.5226,3596386100,000016.SH
2022/11/22,2516.6952,2555.7855,2508.8613,2531.3437,3729538100,000016.SH
2022/11/21,2523.0529,2523.0529,2489.4373,2514.8539,2553077900,000016.SH
2022/11/18,2563.2714,2572.7102,2544.8447,2546.7154,2845696200,000016.SH
2022/11/17,2566.2824,2569.4265,2531.3025,2560.0167,2748370300,000016.SH
2022/11/16,2581.9333,2595.2952,2568.3842,2572.8872,2883615500,000016.SH
2022/11/15,2535.2782,2594.2712,2526.6194,2583.7231,3658090100,000016.SH
2022/11/14,2550.9736,2577.2013,2532.5507,2538.2967,5034200000,000016.SH
2022/11/11,2511.7787,2546.0871,2482.1134,2518.0491,6150088100,000016.SH
2022/11/10,2422.0105,2451.4669,2414.3513,2440.3171,3820402100,000016.SH
2022/11/9,2460.2399,2470.4065,2435.0189,2440.352,2512532500,000016.SH
2022/11/8,2476.6525,2482.5779,2442.9232,2459.0913,2729935200,000016.SH
2022/11/7,2452.0053,2490.3197,2449.6301,2477.7666,4044196100,000016.SH
2022/11/4,2383.9618,2479.2279,2383.9618,2468.2764,4062206800,000016.SH
2022/11/3,2396.47,2409.1435,2376.0735,2387.4523,2865275600,000016.SH
2022/11/2,2385.7075,2437.951,2375.5076,2418.3222,4229089000,000016.SH
2022/11/1,2306.4347,2396.9974,2306.4347,2396.6294,5009886700,000016.SH
2022/10/31,2300.8835,2327.0632,2288.0114,2295.9239,4152062500,000016.SH
2022/10/28,2364.7518,2377.9124,2322.6434,2326.9417,3245822300,000016.SH
2022/10/27,2413.0208,2432.1529,2379.0569,2381.2628,3551725200,000016.SH
2022/10/26,2395.8709,2438.6929,2392.7353,2400.5156,3658010900,000016.SH
2022/10/25,2386.8489,2427.3229,2376.1633,2394.92,2843940900,000016.SH
2022/10/24,2468.6977,2493.0591,2386.5384,2392.5978,3980191500,000016.SH
2022/10/21,2503.1087,2510.5974,2473.1982,2487.221,2725154900,000016.SH
2022/10/20,2495.0223,2535.3871,2494.2851,2501.4956,2383318200,000016.SH
2022/10/19,2562.5446,2572.3044,2519.9033,2519.9033,2159068300,000016.SH
2022/10/18,2594.7001,2598.2129,2565.0407,2569.9675,2097505000,000016.SH
2022/10/17,2572.6092,2588.344,2561.2441,2585.4973,2682674200,000016.SH
2022/10/14,2544.2413,2599.1414,2541.3815,2584.6847,3344961900,000016.SH
2022/10/13,2534.5129,2541.1571,2517.435,2523.6321,2862722300,000016.SH
2022/10/12,2537.8069,2556.5164,2482.5511,2555.024,2863560600,000016.SH
2022/10/11,2552.1656,2553.2117,2532.2839,2539.9455,2421649600,000016.SH
2022/10/10,2610.7571,2611.0459,2542.0063,2545.0494,3371835800,000016.SH
2022/9/30,2618.0789,2631.7758,2604.9274,2610.1165,2324446400,000016.SH
2022/9/29,2633.0681,2644.0747,2596.9578,2608.9774,2596901700,000016.SH
2022/9/28,2635.2559,2637.0155,2608.6405,2611.9815,2473208600,000016.SH
2022/9/27,2616.0501,2645.7366,2605.2407,2642.9212,2614497000,000016.SH
2022/9/26,2612.6673,2650.2542,2611.5292,2614.8998,3438453300,000016.SH
2022/9/23,2625.2488,2649.8066,2618.9402,2629.8089,3027793400,000016.SH
2022/9/22,2631.9968,2645.5662,2621.8224,2629.3701,2422923600,000016.SH
2022/9/21,2667.168,2670.0647,2641.7189,2652.2142,2396014700,000016.SH
2022/9/20,2688.1681,2691.5533,2666.6566,2673.8804,2375139400,000016.SH
